Device/Package 6slx4csg225 Wed Mar 31 17:26:21 2010 

Pin	Bank	BUFIO2	Pin Description 
J1	3	LB	IO_L41N_GCLK26_3 
H3	3	LB	IO_L42P_GCLK25_TRDY2_3 
H1	3	LB	IO_L42N_GCLK24_3 
K4	3	LT	IO_L43P_GCLK23_3 
J3	3	LT	IO_L43N_GCLK22_IRDY2_3 
G2	3	LT	IO_L44P_GCLK21_3 
G1	3	LT	IO_L44N_GCLK20_3 
K5	3	LT	IO_L45P_3 
J4	3	LT	IO_L45N_3 
F3	3	LT	IO_L46P_3 
F1	3	LT	IO_L46N_3 
E2	3	LT	IO_L52P_3 
E1	3	LT	IO_L52N_3 
D4	3	LT	IO_L53P_3 
E3	3	LT	IO_L53N_3 
D3	3	LT	IO_L54P_3 
D1	3	LT	IO_L54N_3 
C2	3	LT	IO_L83P_3 
C1	3	LT	IO_L83N_VREF_3 
A1	NA	NA	GND 
A15	NA	NA	GND 
B10	NA	NA	GND 
B6	NA	NA	GND 
C13	NA	NA	GND 
C3	NA	NA	GND 
E11	NA	NA	GND 
F14	NA	NA	GND 
F2	NA	NA	GND 
F6	NA	NA	GND 
G7	NA	NA	GND 
G9	NA	NA	GND 
H8	NA	NA	GND 
J7	NA	NA	GND 
J9	NA	NA	GND 
K14	NA	NA	GND 
K2	NA	NA	GND 
K6	NA	NA	GND 
L11	NA	NA	GND 
N13	NA	NA	GND 
N3	NA	NA	GND 
P10	NA	NA	GND 
P6	NA	NA	GND 
R1	NA	NA	GND 
R15	NA	NA	GND 
F9	NA	NA	VCCINT 
G6	NA	NA	VCCINT 
G8	NA	NA	VCCINT 
H7	NA	NA	VCCINT 
H9	NA	NA	VCCINT 
J10	NA	NA	VCCINT 
J8	NA	NA	VCCINT 
K7	NA	NA	VCCINT 
B1	NA	NA	VCCAUX 
E12	NA	NA	VCCAUX 
F7	NA	NA	VCCAUX 
G10	NA	NA	VCCAUX 
J6	NA	NA	VCCAUX 
K9	NA	NA	VCCAUX 
L4	NA	NA	VCCAUX 
M12	NA	NA	VCCAUX 
B12	0	NA	VCCO_0 
B4	0	NA	VCCO_0 
B8	0	NA	VCCO_0 
D9	0	NA	VCCO_0 
D14	1	NA	VCCO_1 
H14	1	NA	VCCO_1 
J12	1	NA	VCCO_1 
M14	1	NA	VCCO_1 
M7	2	NA	VCCO_2 
P12	2	NA	VCCO_2 
P4	2	NA	VCCO_2 
P8	2	NA	VCCO_2 
D2	3	NA	VCCO_3 
G4	3	NA	VCCO_3 
H2	3	NA	VCCO_3 
M2	3	NA	VCCO_3 
E6	NOPAD/UNCONNECTED  
D6	NOPAD/UNCONNECTED  
D7	NOPAD/UNCONNECTED  
C7	NOPAD/UNCONNECTED  
F8	NOPAD/UNCONNECTED  
E8	NOPAD/UNCONNECTED  
G11	NOPAD/UNCONNECTED  
G12	NOPAD/UNCONNECTED  
F11	NOPAD/UNCONNECTED  
F12	NOPAD/UNCONNECTED  
H10	NOPAD/UNCONNECTED  
H11	NOPAD/UNCONNECTED  
H12	NOPAD/UNCONNECTED  
G13	NOPAD/UNCONNECTED  
M9	NOPAD/UNCONNECTED  
N9	NOPAD/UNCONNECTED  
L7	NOPAD/UNCONNECTED  
M6	NOPAD/UNCONNECTED  
J5	NOPAD/UNCONNECTED  
H4	NOPAD/UNCONNECTED  
G5	NOPAD/UNCONNECTED  
G3	NOPAD/UNCONNECTED  
H6	NOPAD/UNCONNECTED  
H5	NOPAD/UNCONNECTED  
F5	NOPAD/UNCONNECTED  
F4	NOPAD/UNCONNECTED  
E5	NOPAD/UNCONNECTED  
E4	NOPAD/UNCONNECTED  


Total Number of Pins generated, 225
