Device/Package 6slx4cpg196 Wed Mar 31 17:26:21 2010 

Pin	Bank	BUFIO2	Pin Description 
D6	NA	NA	GND 
D9	NA	NA	GND 
E11	NA	NA	GND 
E8	NA	NA	GND 
F7	NA	NA	GND 
F8	NA	NA	GND 
G4	NA	NA	GND 
G5	NA	NA	GND 
G6	NA	NA	GND 
G7	NA	NA	GND 
G8	NA	NA	GND 
H10	NA	NA	GND 
H4	NA	NA	GND 
H7	NA	NA	GND 
H8	NA	NA	GND 
H9	NA	NA	GND 
J10	NA	NA	GND 
J7	NA	NA	GND 
J8	NA	NA	GND 
K8	NA	NA	GND 
L10	NA	NA	GND 
L11	NA	NA	GND 
L3	NA	NA	GND 
L5	NA	NA	GND 
L6	NA	NA	GND 
L9	NA	NA	GND 
M11	NA	NA	GND 
M3	NA	NA	GND 
M7	NA	NA	GND 
P1	NA	NA	GND 
P14	NA	NA	GND 
E10	NA	NA	VCCINT 
E5	NA	NA	VCCINT 
E6	NA	NA	VCCINT 
E9	NA	NA	VCCINT 
F10	NA	NA	VCCINT 
F5	NA	NA	VCCINT 
F6	NA	NA	VCCINT 
F9	NA	NA	VCCINT 
J5	NA	NA	VCCINT 
J6	NA	NA	VCCINT 
J9	NA	NA	VCCINT 
K10	NA	NA	VCCINT 
K5	NA	NA	VCCINT 
K6	NA	NA	VCCINT 
K9	NA	NA	VCCINT 
D7	NA	NA	VCCAUX 
E7	NA	NA	VCCAUX 
G10	NA	NA	VCCAUX 
G9	NA	NA	VCCAUX 
H5	NA	NA	VCCAUX 
H6	NA	NA	VCCAUX 
K7	NA	NA	VCCAUX 
L7	NA	NA	VCCAUX 
C10	0	NA	VCCO_0 
C4	0	NA	VCCO_0 
C5	0	NA	VCCO_0 
C9	0	NA	VCCO_0 
D12	1	NA	VCCO_1 
E12	1	NA	VCCO_1 
G11	1	NA	VCCO_1 
G12	1	NA	VCCO_1 
K11	1	NA	VCCO_1 
K12	1	NA	VCCO_1 
M10	2	NA	VCCO_2 
M5	2	NA	VCCO_2 
M6	2	NA	VCCO_2 
M9	2	NA	VCCO_2 
E3	3	NA	VCCO_3 
E4	3	NA	VCCO_3 
G3	3	NA	VCCO_3 
H3	3	NA	VCCO_3 
K3	3	NA	VCCO_3 
K4	3	NA	VCCO_3 


Total Number of Pins generated, 196
