SORT_ROW,SORT_COLUMN,PIN_NUMBER,XC3S500E_PIN,XC3S500E_TYPE,XC3S1200E_PIN,XC3S1200E_TYPE,XC3S1600E_PIN,XC3S1600E_TYPE,BANK,DIFFERENCE
C,13,C13,VCCO_0,VCCO,VCCO_0,VCCO,VCCO_0,VCCO,0,.
C,14,C14,IO_L03N_0/VREF_0,VREF,IO_L03N_0/VREF_0,VREF,IO_L03N_0/VREF_0,VREF,0,.
C,15,C15,IP,INPUT,IP,INPUT,IP,INPUT,0,.
C,16,C16,TDO,JTAG,TDO,JTAG,TDO,JTAG,VCCAUX,.
C,17,C17,IO_L24N_1/LDC2,DUAL,IO_L24N_1/LDC2,DUAL,IO_L24N_1/LDC2,DUAL,1,.
C,18,C18,IO_L24P_1/LDC1,DUAL,IO_L24P_1/LDC1,DUAL,IO_L24P_1/LDC1,DUAL,1,.
D,1,D1,IO_L02P_3,I/O,IO_L02P_3,I/O,IO_L02P_3,I/O,3,.
D,2,D2,IO_L02N_3/VREF_3,VREF,IO_L02N_3/VREF_3,VREF,IO_L02N_3/VREF_3,VREF,3,.
D,3,D3,IP,INPUT,IP,INPUT,IP,INPUT,3,.
D,4,D4,N.C.,N.C.,IO,I/O,IO,I/O,3,DIFF
D,5,D5,IO_L23N_0/VREF_0,VREF,IO_L23N_0/VREF_0,VREF,IO_L23N_0/VREF_0,VREF,0,.
D,6,D6,N.C.,N.C.,IO_L21P_0,I/O,IO_L21P_0,I/O,0,DIFF
D,7,D7,IO_L18N_0/VREF_0,VREF,IO_L18N_0/VREF_0,VREF,IO_L18N_0/VREF_0,VREF,0,.
D,8,D8,IP_L16N_0,INPUT,IP_L16N_0,INPUT,IP_L16N_0,INPUT,0,.
D,9,D9,IO_L14N_0/GCLK11,GCLK,IO_L14N_0/GCLK11,GCLK,IO_L14N_0/GCLK11,GCLK,0,.
D,10,D10,IO_L11P_0/GCLK4,GCLK,IO_L11P_0/GCLK4,GCLK,IO_L11P_0/GCLK4,GCLK,0,.
D,11,D11,IO_L09N_0,I/O,IO_L09N_0,I/O,IO_L09N_0,I/O,0,.
D,12,D12,IP_L07N_0,INPUT,IP_L07N_0,INPUT,IP_L07N_0,INPUT,0,.
D,13,D13,IP,INPUT,IO,I/O,IO,I/O,0,DIFF
D,14,D14,IO_L03P_0,I/O,IO_L03P_0,I/O,IO_L03P_0,I/O,0,.
D,15,D15,TMS,JTAG,TMS,JTAG,TMS,JTAG,VCCAUX,.
D,16,D16,IO_L23N_1/LDC0,DUAL,IO_L23N_1/LDC0,DUAL,IO_L23N_1/LDC0,DUAL,1,.
D,17,D17,IO_L23P_1/HDC,DUAL,IO_L23P_1/HDC,DUAL,IO_L23P_1/HDC,DUAL,1,.
D,18,D18,IP/VREF_1,VREF,IP/VREF_1,VREF,IP/VREF_1,VREF,1,.
E,1,E1,IO_L03N_3,I/O,IO_L03N_3,I/O,IO_L03N_3,I/O,3,.
E,2,E2,IO_L03P_3,I/O,IO_L03P_3,I/O,IO_L03P_3,I/O,3,.
E,3,E3,N.C.,N.C.,IO_L04N_3,I/O,IO_L04N_3,I/O,3,DIFF
E,4,E4,N.C.,N.C.,IO_L04P_3,I/O,IO_L04P_3,I/O,3,DIFF
E,5,E5,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,.
E,6,E6,N.C.,N.C.,IO_L21N_0,I/O,IO_L21N_0,I/O,0,DIFF
E,7,E7,IO_L19N_0/VREF_0,VREF,IO_L19N_0/VREF_0,VREF,IO_L19N_0/VREF_0,VREF,0,.
E,8,E8,IO_L17P_0,I/O,IO_L17P_0,I/O,IO_L17P_0,I/O,0,.
E,9,E9,IO_L15P_0,I/O,IO_L15P_0,I/O,IO_L15P_0,I/O,0,.
E,10,E10,IO_L11N_0/GCLK5,GCLK,IO_L11N_0/GCLK5,GCLK,IO_L11N_0/GCLK5,GCLK,0,.
E,11,E11,IO_L08P_0,I/O,IO_L08P_0,I/O,IO_L08P_0,I/O,0,.
E,12,E12,IO_L06N_0,I/O,IO_L06N_0,I/O,IO_L06N_0,I/O,0,.
E,13,E13,IO,I/O,IO,I/O,IO,I/O,0,.
E,14,E14,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,.
E,15,E15,N.C.,N.C.,IO_L22P_1,I/O,IO_L22P_1,I/O,1,DIFF
E,16,E16,N.C.,N.C.,IO_L22N_1,I/O,IO_L22N_1,I/O,1,DIFF
E,17,E17,IO,I/O,IP,INPUT,IP,INPUT,1,DIFF
E,18,E18,IP,INPUT,IP,INPUT,IP,INPUT,1,.
F,1,F1,IO_L05P_3,I/O,IO_L05P_3,I/O,IO_L05P_3,I/O,3,.
F,2,F2,IO_L05N_3,I/O,IO_L05N_3,I/O,IO_L05N_3,I/O,3,.
F,3,F3,VCCO_3,VCCO,VCCO_3,VCCO,VCCO_3,VCCO,3,.
F,4,F4,IO,I/O,IP,INPUT,IP,INPUT,3,DIFF
F,5,F5,IP,INPUT,IP,INPUT,IP,INPUT,3,.
F,6,F6,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,.
F,7,F7,IO_L19P_0,I/O,IO_L19P_0,I/O,IO_L19P_0,I/O,0,.
F,8,F8,IO_L17N_0,I/O,IO_L17N_0,I/O,IO_L17N_0,I/O,0,.
F,9,F9,IO_L15N_0,I/O,IO_L15N_0,I/O,IO_L15N_0,I/O,0,.
F,10,F10,IP_L10P_0,INPUT,IP_L10P_0,INPUT,IP_L10P_0,INPUT,0,.
F,11,F11,IO_L08N_0,I/O,IO_L08N_0,I/O,IO_L08N_0,I/O,0,.
F,12,F12,IO_L06P_0,I/O,IO_L06P_0,I/O,IO_L06P_0,I/O,0,.
F,13,F13,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,.
F,14,F14,IO_L21N_1,I/O,IO_L21N_1,I/O,IO_L21N_1,I/O,1,.
F,15,F15,IO_L21P_1,I/O,IO_L21P_1,I/O,IO_L21P_1,I/O,1,.
F,16,F16,VCCO_1,VCCO,VCCO_1,VCCO,VCCO_1,VCCO,1,.
F,17,F17,IO_L19N_1,I/O,IO_L19N_1,I/O,IO_L19N_1,I/O,1,.
F,18,F18,IO_L19P_1,I/O,IO_L19P_1,I/O,IO_L19P_1,I/O,1,.
G,1,G1,IP,INPUT,IP,INPUT,IP,INPUT,3,.
G,2,G2,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,.
G,3,G3,IO_L06P_3,I/O,IO_L06P_3,I/O,IO_L06P_3,I/O,3,.
G,4,G4,IO_L06N_3/VREF_3,VREF,IO_L06N_3/VREF_3,VREF,IO_L06N_3/VREF_3,VREF,3,.
G,5,G5,IO_L07N_3,I/O,IO_L07N_3,I/O,IO_L07N_3,I/O,3,.
G,6,G6,IO_L07P_3,I/O,IO_L07P_3,I/O,IO_L07P_3,I/O,3,.
G,7,G7,GND,GND,GND,GND,GND,GND,GND,.
G,8,G8,VCCO_0,VCCO,VCCO_0,VCCO,VCCO_0,VCCO,0,.
G,9,G9,IO,I/O,IO,I/O,IO,I/O,0,.
G,10,G10,IP_L10N_0,INPUT,IP_L10N_0,INPUT,IP_L10N_0,INPUT,0,.
G,11,G11,VCCO_0,VCCO,VCCO_0,VCCO,VCCO_0,VCCO,0,.
G,12,G12,GND,GND,GND,GND,GND,GND,GND,.
G,13,G13,IO_L20N_1,I/O,IO_L20N_1,I/O,IO_L20N_1,I/O,1,.
G,14,G14,IO_L20P_1,I/O,IO_L20P_1,I/O,IO_L20P_1,I/O,1,.
G,15,G15,IO_L18P_1,I/O,IO_L18P_1,I/O,IO_L18P_1,I/O,1,.
G,16,G16,IO_L18N_1,I/O,IO_L18N_1,I/O,IO_L18N_1,I/O,1,.
G,17,G17,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,.
G,18,G18,IP,INPUT,IP,INPUT,IP,INPUT,1,.
H,1,H1,IO_L10N_3,I/O,IO_L10N_3,I/O,IO_L10N_3,I/O,3,.
H,2,H2,IO_L10P_3,I/O,IO_L10P_3,I/O,IO_L10P_3,I/O,3,.
H,3,H3,IO_L09N_3,I/O,IO_L09N_3,I/O,IO_L09N_3,I/O,3,.
H,4,H4,IO_L09P_3,I/O,IO_L09P_3,I/O,IO_L09P_3,I/O,3,.
H,5,H5,IO_L08N_3,I/O,IO_L08N_3,I/O,IO_L08N_3,I/O,3,.
H,6,H6,IO_L08P_3,I/O,IO_L08P_3,I/O,IO_L08P_3,I/O,3,.
H,7,H7,VCCO_3,VCCO,VCCO_3,VCCO,VCCO_3,VCCO,3,.
H,8,H8,GND,GND,GND,GND,GND,GND,GND,.
H,9,H9,GND,GND,GND,GND,GND,GND,GND,.
H,10,H10,GND,GND,GND,GND,GND,GND,GND,.
H,11,H11,GND,GND,GND,GND,GND,GND,GND,.
H,12,H12,VCCO_1,VCCO,VCCO_1,VCCO,VCCO_1,VCCO,1,.
H,13,H13,IP,INPUT,IP,INPUT,IP,INPUT,1,.
H,14,H14,IO_L17P_1,I/O,IO_L17P_1,I/O,IO_L17P_1,I/O,1,.
H,15,H15,IO_L17N_1,I/O,IO_L17N_1,I/O,IO_L17N_1,I/O,1,.
H,16,H16,IO_L16P_1,I/O,IO_L16P_1,I/O,IO_L16P_1,I/O,1,.
H,17,H17,IO_L16N_1/A0,DUAL,IO_L16N_1/A0,DUAL,IO_L16N_1/A0,DUAL,1,.
H,18,H18,IP/VREF_1,VREF,IP/VREF_1,VREF,IP/VREF_1,VREF,1,.
J,1,J1,IO_L12P_3/LHCLK2,LHCLK,IO_L12P_3/LHCLK2,LHCLK,IO_L12P_3/LHCLK2,LHCLK,3,.
J,2,J2,IO_L12N_3/LHCLK3/IRDY2,LHCLK,IO_L12N_3/LHCLK3/IRDY2,LHCLK,IO_L12N_3/LHCLK3/IRDY2,LHCLK,3,.
J,3,J3,GND,GND,GND,GND,GND,GND,GND,.
J,4,J4,IO_L11N_3/LHCLK1,LHCLK,IO_L11N_3/LHCLK1,LHCLK,IO_L11N_3/LHCLK1,LHCLK,3,.
J,5,J5,IO_L11P_3/LHCLK0,LHCLK,IO_L11P_3/LHCLK0,LHCLK,IO_L11P_3/LHCLK0,LHCLK,3,.
J,6,J6,IP/VREF_3,VREF,IP/VREF_3,VREF,IP/VREF_3,VREF,3,.
J,7,J7,IP,INPUT,IP,INPUT,IP,INPUT,3,.
J,8,J8,GND,GND,GND,GND,GND,GND,GND,.
J,11,J11,GND,GND,GND,GND,GND,GND,GND,.
J,12,J12,IO_L15P_1/A2,DUAL,IO_L15P_1/A2,DUAL,IO_L15P_1/A2,DUAL,1,.
J,13,J13,IO_L15N_1/A1,DUAL,IO_L15N_1/A1,DUAL,IO_L15N_1/A1,DUAL,1,.
J,14,J14,IO_L14N_1/A3/RHCLK7,RHCLK/DUAL,IO_L14N_1/A3/RHCLK7,RHCLK/DUAL,IO_L14N_1/A3/RHCLK7,RHCLK/DUAL,1,.
J,15,J15,IO_L14P_1/A4/RHCLK6,RHCLK/DUAL,IO_L14P_1/A4/RHCLK6,RHCLK/DUAL,IO_L14P_1/A4/RHCLK6,RHCLK/DUAL,1,.
J,16,J16,IO_L13N_1/A5/RHCLK5,RHCLK/DUAL,IO_L13N_1/A5/RHCLK5,RHCLK/DUAL,IO_L13N_1/A5/RHCLK5,RHCLK/DUAL,1,.
J,17,J17,IO_L13P_1/A6/RHCLK4/IRDY1,RHCLK/DUAL,IO_L13P_1/A6/RHCLK4/IRDY1,RHCLK/DUAL,IO_L13P_1/A6/RHCLK4/IRDY1,RHCLK/DUAL,1,.
J,18,J18,VCCO_1,VCCO,VCCO_1,VCCO,VCCO_1,VCCO,1,.
K,1,K1,VCCO_3,VCCO,VCCO_3,VCCO,VCCO_3,VCCO,3,.
K,2,K2,IP,INPUT,IP,INPUT,IP,INPUT,3,.
K,3,K3,IO_L13P_3/LHCLK4/TRDY2,LHCLK,IO_L13P_3/LHCLK4/TRDY2,LHCLK,IO_L13P_3/LHCLK4/TRDY2,LHCLK,3,.
K,4,K4,IO_L13N_3/LHCLK5,LHCLK,IO_L13N_3/LHCLK5,LHCLK,IO_L13N_3/LHCLK5,LHCLK,3,.
K,5,K5,IO_L14N_3/LHCLK7,LHCLK,IO_L14N_3/LHCLK7,LHCLK,IO_L14N_3/LHCLK7,LHCLK,3,.
K,6,K6,IO_L14P_3/LHCLK6,LHCLK,IO_L14P_3/LHCLK6,LHCLK,IO_L14P_3/LHCLK6,LHCLK,3,.
K,7,K7,IP,INPUT,IP,INPUT,IP,INPUT,3,.
K,8,K8,GND,GND,GND,GND,GND,GND,GND,.
K,11,K11,GND,GND,GND,GND,GND,GND,GND,.
K,12,K12,IO_L11N_1/A9/RHCLK1,RHCLK/DUAL,IO_L11N_1/A9/RHCLK1,RHCLK/DUAL,IO_L11N_1/A9/RHCLK1,RHCLK/DUAL,1,.
K,13,K13,IO_L11P_1/A10/RHCLK0,RHCLK/DUAL,IO_L11P_1/A10/RHCLK0,RHCLK/DUAL,IO_L11P_1/A10/RHCLK0,RHCLK/DUAL,1,.
K,14,K14,IO_L12N_1/A7/RHCLK3/TRDY1,RHCLK/DUAL,IO_L12N_1/A7/RHCLK3/TRDY1,RHCLK/DUAL,IO_L12N_1/A7/RHCLK3/TRDY1,RHCLK/DUAL,1,.
K,15,K15,IO_L12P_1/A8/RHCLK2,RHCLK/DUAL,IO_L12P_1/A8/RHCLK2,RHCLK/DUAL,IO_L12P_1/A8/RHCLK2,RHCLK/DUAL,1,.
K,16,K16,GND,GND,GND,GND,GND,GND,GND,.
K,17,K17,IP,INPUT,IP,INPUT,IP,INPUT,1,.
K,18,K18,IP,INPUT,IP,INPUT,IP,INPUT,1,.
L,1,L1,IO_L15P_3,I/O,IO_L15P_3,I/O,IO_L15P_3,I/O,3,.
L,2,L2,IO_L15N_3,I/O,IO_L15N_3,I/O,IO_L15N_3,I/O,3,.
L,3,L3,IO_L16P_3,I/O,IO_L16P_3,I/O,IO_L16P_3,I/O,3,.
L,4,L4,IO_L16N_3,I/O,IO_L16N_3,I/O,IO_L16N_3,I/O,3,.
L,5,L5,IO_L17N_3/VREF_3,VREF,IO_L17N_3/VREF_3,VREF,IO_L17N_3/VREF_3,VREF,3,.
L,6,L6,IO_L17P_3,I/O,IO_L17P_3,I/O,IO_L17P_3,I/O,3,.
L,7,L7,VCCO_3,VCCO,VCCO_3,VCCO,VCCO_3,VCCO,3,.
L,8,L8,GND,GND,GND,GND,GND,GND,GND,.
L,9,L9,GND,GND,GND,GND,GND,GND,GND,.
L,10,L10,GND,GND,GND,GND,GND,GND,GND,.
L,11,L11,GND,GND,GND,GND,GND,GND,GND,.
L,12,L12,VCCO_1,VCCO,VCCO_1,VCCO,VCCO_1,VCCO,1,.
L,13,L13,IP,INPUT,IP,INPUT,IP,INPUT,1,.
L,14,L14,IP,INPUT,IP,INPUT,IP,INPUT,1,.
L,15,L15,IO_L09N_1/A11,DUAL,IO_L09N_1/A11,DUAL,IO_L09N_1/A11,DUAL,1,.
L,16,L16,IO_L09P_1/A12,DUAL,IO_L09P_1/A12,DUAL,IO_L09P_1/A12,DUAL,1,.
L,17,L17,IO_L10N_1/VREF_1,VREF,IO_L10N_1/VREF_1,VREF,IO_L10N_1/VREF_1,VREF,1,.
L,18,L18,IO_L10P_1,I/O,IO_L10P_1,I/O,IO_L10P_1,I/O,1,.
M,1,M1,IP,INPUT,IP,INPUT,IP,INPUT,3,.
M,2,M2,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,.
M,3,M3,IO_L18N_3,I/O,IO_L18N_3,I/O,IO_L18N_3,I/O,3,.
M,4,M4,IO_L18P_3,I/O,IO_L18P_3,I/O,IO_L18P_3,I/O,3,.
M,5,M5,IO_L19P_3,I/O,IO_L19P_3,I/O,IO_L19P_3,I/O,3,.
M,6,M6,IO_L19N_3,I/O,IO_L19N_3,I/O,IO_L19N_3,I/O,3,.
M,7,M7,GND,GND,GND,GND,GND,GND,GND,.
M,8,M8,VCCO_2,VCCO,VCCO_2,VCCO,VCCO_2,VCCO,2,.
M,9,M9,IO_L12N_2/D6/GCLK13,DUAL/GCLK,IO_L12N_2/D6/GCLK13,DUAL/GCLK,IO_L12N_2/D6/GCLK13,DUAL/GCLK,2,.
M,10,M10,IO_L16P_2/M0,DUAL,IO_L16P_2/M0,DUAL,IO_L16P_2/M0,DUAL,2,.
M,11,M11,VCCO_2,VCCO,VCCO_2,VCCO,VCCO_2,VCCO,2,.
M,12,M12,GND,GND,GND,GND,GND,GND,GND,.
M,13,M13,IO_L05N_1/VREF_1,VREF,IO_L05N_1/VREF_1,VREF,IO_L05N_1/VREF_1,VREF,1,.
M,14,M14,IO_L05P_1,I/O,IO_L05P_1,I/O,IO_L05P_1,I/O,1,.
M,15,M15,IO_L07P_1,I/O,IO_L07P_1,I/O,IO_L07P_1,I/O,1,.
M,16,M16,IO_L07N_1,I/O,IO_L07N_1,I/O,IO_L07N_1,I/O,1,.
M,17,M17,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,VCCAUX,.
M,18,M18,IO_L08N_1,I/O,IO_L08N_1,I/O,IO_L08N_1,I/O,1,.
N,1,N1,IP,INPUT,IP,INPUT,IP,INPUT,3,.
N,2,N2,IP,INPUT,IP,INPUT,IP,INPUT,3,.
N,3,N3,VCCO_3,VCCO,VCCO_3,VCCO,VCCO_3,VCCO,3,.
N,4,N4,IO_L20P_3,I/O,IO_L20P_3,I/O,IO_L20P_3,I/O,3,.
N,5,N5,IO_L20N_3,I/O,IO_L20N_3,I/O,IO_L20N_3,I/O,3,.
N,6,N6,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,.
N,7,N7,IO_L07P_2,I/O,IO_L07P_2,I/O,IO_L07P_2,I/O,2,.
N,8,N8,IO_L09N_2,I/O,IO_L09N_2,I/O,IO_L09N_2,I/O,2,.
N,9,N9,IO_L12P_2/D7/GCLK12,DUAL/GCLK,IO_L12P_2/D7/GCLK12,DUAL/GCLK,IO_L12P_2/D7/GCLK12,DUAL/GCLK,2,.
N,10,N10,IO_L16N_2/DIN/D0,DUAL,IO_L16N_2/DIN/D0,DUAL,IO_L16N_2/DIN/D0,DUAL,2,.
N,11,N11,IO_L18N_2,I/O,IO_L18N_2,I/O,IO_L18N_2,I/O,2,.
N,12,N12,N.C.,N.C.,IO_L21P_2,I/O,IO_L21P_2,I/O,2,DIFF
N,13,N13,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,.
N,14,N14,N.C.,N.C.,IO_L04N_1,I/O,IO_L04N_1,I/O,1,DIFF
N,15,N15,N.C.,N.C.,IO_L04P_1,I/O,IO_L04P_1,I/O,1,DIFF
N,16,N16,VCCO_1,VCCO,VCCO_1,VCCO,VCCO_1,VCCO,1,.
N,17,N17,IP,INPUT,IP,INPUT,IP,INPUT,1,.
N,18,N18,IO_L08P_1,I/O,IO_L08P_1,I/O,IO_L08P_1,I/O,1,.
P,1,P1,IO_L21N_3,I/O,IO_L21N_3,I/O,IO_L21N_3,I/O,3,.
P,2,P2,IO_L21P_3,I/O,IO_L21P_3,I/O,IO_L21P_3,I/O,3,.
P,3,P3,N.C.,N.C.,IO_L22P_3,I/O,IO_L22P_3,I/O,3,DIFF
P,4,P4,N.C.,N.C.,IO_L22N_3,I/O,IO_L22N_3,I/O,3,DIFF
P,5,P5,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,.
P,6,P6,IO_L05N_2,I/O,IO_L05N_2,I/O,IO_L05N_2,I/O,2,.
P,7,P7,IO_L07N_2,I/O,IO_L07N_2,I/O,IO_L07N_2,I/O,2,.
P,8,P8,IO_L09P_2,I/O,IO_L09P_2,I/O,IO_L09P_2,I/O,2,.
P,9,P9,IO,I/O,IO,I/O,IO,I/O,2,.
P,10,P10,IO_L15N_2/D1/GCLK3,DUAL/GCLK,IO_L15N_2/D1/GCLK3,DUAL/GCLK,IO_L15N_2/D1/GCLK3,DUAL/GCLK,2,.
P,11,P11,IO_L18P_2,I/O,IO_L18P_2,I/O,IO_L18P_2,I/O,2,.
P,12,P12,N.C.,N.C.,IO_L21N_2,I/O,IO_L21N_2,I/O,2,DIFF
P,13,P13,IO_L22P_2/A23,DUAL,IO_L22P_2/A23,DUAL,IO_L22P_2/A23,DUAL,2,.
P,14,P14,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,VCCINT,.
P,15,P15,IO,I/O,IP,INPUT,IP,INPUT,1,DIFF
P,16,P16,N.C.,N.C.,IO,I/O,IO,I/O,1,DIFF
P,17,P17,IO_L06P_1,I/O,IO_L06P_1,I/O,IO_L06P_1,I/O,1,.
P,18,P18,IO_L06N_1,I/O,IO_L06N_1,I/O,IO_L06N_1,I/O,1,.
R,1,R1,IP,INPUT,IP,INPUT,IP,INPUT,3,.
R,2,R2,IO_L23N_3,I/O,IO_L23N_3,I/O,IO_L23N_3,I/O,3,.
R,3,R3,IO_L23P_3,I/O,IO_L23P_3,I/O,IO_L23P_3,I/O,3,.
R,4,R4,IO/VREF_3,VREF,IP/VREF_3,VREF,IP/VREF_3,VREF,3,DIFF
R,5,R5,IO_L04P_2,I/O,IO_L04P_2,I/O,IO_L04P_2,I/O,2,.
R,6,R6,IO_L05P_2,I/O,IO_L05P_2,I/O,IO_L05P_2,I/O,2,.
R,7,R7,IP_L08N_2,INPUT,IP_L08N_2,INPUT,IP_L08N_2,INPUT,2,.
R,8,R8,IO_L10P_2,I/O,IO_L10P_2,I/O,IO_L10P_2,I/O,2,.
R,9,R9,IO/D5,DUAL,IO/D5,DUAL,IO/D5,DUAL,2,.
R,10,R10,IO_L15P_2/D2/GCLK2,DUAL/GCLK,IO_L15P_2/D2/GCLK2,DUAL/GCLK,IO_L15P_2/D2/GCLK2,DUAL/GCLK,2,.
R,11,R11,IO,I/O,IO,I/O,IO,I/O,2,.
R,12,R12,IO_L20N_2,I/O,IO_L20N_2,I/O,IO_L20N_2,I/O,2,.
R,13,R13,IO_L22N_2/A22,DUAL,IO_L22N_2/A22,DUAL,IO_L22N_2/A22,DUAL,2,.
R,14,R14,IO_L24N_2/A20,DUAL,IO_L24N_2/A20,DUAL,IO_L24N_2/A20,DUAL,2,.
R,15,R15,IO_L03P_1,I/O,IO_L03P_1,I/O,IO_L03P_1,I/O,1,.
R,16,R16,IO_L03N_1/VREF_1,VREF,IO_L03N_1/VREF_1,VREF,IO_L03N_1/VREF_1,VREF,1,.
R,17,R17,IP,INPUT,IP,INPUT,IP,INPUT,1,.
R,18,R18,IO_L02P_1/A14,DUAL,IO_L02P_1/A14,DUAL,IO_L02P_1/A14,DUAL,1,.
