SORT_PIN,PIN_NUMBER,XC3S250E_PIN,XC3S250E_TYPE,XC3S500E_PIN,XC3S500E_TYPE,BANK,DIFFERENCE
203,P203,IO_L15N_0,I/O,IO_L15N_0,I/O,0,.
204,P204,IP,INPUT,IP,INPUT,0,.
205,P205,IO_L16P_0,I/O,IO_L16P_0,I/O,0,.
206,P206,IO_L16N_0/HSWAP,DUAL,IO_L16N_0/HSWAP,DUAL,0,.
207,P207,TDI,JTAG,TDI,JTAG,VCCAUX,.
208,P208,GND,GND,GND,GND,GND,.


,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,

,,,
,,,
,,,
