SORT_ROW,SORT_ROW_#,SORT_COLUMN,PIN_NUMBER,XC3S1600E_PIN,XC3S1600E_TYPE,BANK
G,7,1,G1,IO_L07P_3,I/O,3
G,7,2,G2,GND,GND,GND
G,7,3,G3,IP,INPUT,3
G,7,4,G4,IO_L06P_3,I/O,3
G,7,5,G5,IO_L06N_3,I/O,3
G,7,6,G6,IO_L08N_3/VREF_3,VREF,3
G,7,7,G7,IO_L08P_3,I/O,3
G,7,8,G8,IO,I/O,0
G,7,9,G9,IP_L26N_0,INPUT,0
G,7,10,G10,IP_L26P_0,INPUT,0
G,7,11,G11,VCCO_0,VCCO,0
G,7,12,G12,IO/VREF_0,VREF,0
G,7,13,G13,IO_L15N_0,I/O,0
G,7,14,G14,IO_L13P_0,I/O,0
G,7,15,G15,IO_L10N_0,I/O,0
G,7,16,G16,IP,INPUT,1
G,7,17,G17,IO_L30P_1,I/O,1
G,7,18,G18,IO_L33N_1,I/O,1
G,7,19,G19,IO_L33P_1,I/O,1
G,7,20,G20,IO_L32P_1,I/O,1
G,7,21,G21,GND,GND,GND
G,7,22,G22,IO_L31P_1,I/O,1
H,8,1,H1,IO_L11N_3,I/O,3
H,8,2,H2,IO_L10N_3,I/O,3
H,8,3,H3,IO_L10P_3,I/O,3
H,8,4,H4,IO_L09N_3,I/O,3
H,8,5,H5,IO_L09P_3,I/O,3
H,8,6,H6,VCCO_3,VCCO,3
H,8,7,H7,IP,INPUT,3
H,8,8,H8,IO_L27N_0,I/O,0
H,8,9,H9,IO_L27P_0,I/O,0
H,8,10,H10,IO,I/O,0
H,8,11,H11,IP_L20N_0/GCLK9,GCLK,0
H,8,12,H12,IP_L20P_0/GCLK8,GCLK,0
H,8,13,H13,IO_L16P_0,I/O,0
H,8,14,H14,IO_L13N_0,I/O,0
H,8,15,H15,IO,I/O,0
H,8,16,H16,IP,INPUT,1
H,8,17,H17,IO_L30N_1,I/O,1
H,8,18,H18,VCCO_1,VCCO,1
H,8,19,H19,IO_L29P_1,I/O,1
H,8,20,H20,IO_L29N_1,I/O,1
H,8,21,H21,IO_L28N_1/VREF_1,VREF,1
H,8,22,H22,IO_L28P_1,I/O,1
J,9,1,J1,IO_L11P_3,I/O,3
J,9,2,J2,VCCO_3,VCCO,3
J,9,3,J3,IO_L13N_3/VREF_3,VREF,3
J,9,4,J4,GND,GND,GND
J,9,5,J5,IO_L12P_3,I/O,3
J,9,6,J6,IO_L12N_3,I/O,3
J,9,7,J7,IP,INPUT,3
J,9,8,J8,IO_L14N_3,I/O,3
J,9,9,J9,GND,GND,GND
J,9,10,J10,VCCINT,VCCINT,VCCINT
J,9,11,J11,IO,I/O,0
J,9,12,J12,GND,GND,GND
J,9,13,J13,IO_L16N_0,I/O,0
J,9,14,J14,GND,GND,GND
J,9,15,J15,IO_L25P_1,I/O,1
J,9,16,J16,IP,INPUT,1
J,9,17,J17,IO_L27N_1,I/O,1
J,9,18,J18,IO_L27P_1,I/O,1
J,9,19,J19,GND,GND,GND
J,9,20,J20,IO_L26N_1,I/O,1
J,9,21,J21,IO_L26P_1,I/O,1
J,9,22,J22,IP,INPUT,1
K,10,1,K1,IO_L16N_3,I/O,3
K,10,2,K2,IP,INPUT,3
K,10,3,K3,IO_L13P_3,I/O,3
K,10,4,K4,IO_L15N_3,I/O,3
K,10,5,K5,IO_L15P_3,I/O,3
K,10,6,K6,IP,INPUT,3
K,10,7,K7,IO_L17P_3,I/O,3
K,10,8,K8,IO_L14P_3,I/O,3
K,10,9,K9,VCCINT,VCCINT,VCCINT
K,10,10,K10,GND,GND,GND
K,10,11,K11,VCCINT,VCCINT,VCCINT
K,10,12,K12,GND,GND,GND
K,10,13,K13,VCCINT,VCCINT,VCCINT
K,10,14,K14,VCCAUX,VCCAUX,VCCAUX
K,10,15,K15,IO_L25N_1,I/O,1
K,10,16,K16,IO_L23P_1,I/O,1
K,10,17,K17,IO_L23N_1/A0,DUAL,1
K,10,18,K18,IO_L24P_1,I/O,1
K,10,19,K19,IO_L24N_1,I/O,1
K,10,20,K20,IP,INPUT,1
K,10,21,K21,VCCO_1,VCCO,1
K,10,22,K22,IO_L22N_1/A1,DUAL,1
L,11,1,L1,IO_L16P_3,I/O,3
L,11,2,L2,GND,GND,GND
L,11,3,L3,IP/VREF_3,VREF,3
L,11,4,L4,VCCAUX,VCCAUX,VCCAUX
L,11,5,L5,IO_L18N_3/LHCLK1,LHCLK,3
L,11,6,L6,GND,GND,GND
L,11,7,L7,IO_L17N_3,I/O,3
L,11,8,L8,IO_L19P_3/LHCLK2,LHCLK,3
L,11,9,L9,GND,GND,GND
L,11,10,L10,VCCINT,VCCINT,VCCINT
L,11,11,L11,VCCINT,VCCINT,VCCINT
L,11,12,L12,VCCINT,VCCINT,VCCINT
L,11,13,L13,GND,GND,GND
L,11,14,L14,VCCINT,VCCINT,VCCINT
L,11,15,L15,IP,INPUT,1
L,11,16,L16,VCCO_1,VCCO,1
L,11,17,L17,IP/VREF_1,VREF,1
L,11,18,L18,IO_L21P_1/A4/RHCLK6,RHCLK/DUAL,1
L,11,19,L19,IO_L21N_1/A3/RHCLK7,RHCLK/DUAL,1
L,11,20,L20,IO_L20P_1/A6/RHCLK4/IRDY1,RHCLK/DUAL,1
L,11,21,L21,IO_L20N_1/A5/RHCLK5,RHCLK/DUAL,1
L,11,22,L22,IO_L22P_1/A2,DUAL,1
M,12,1,M1,IO_L20P_3/LHCLK4/TRDY2,LHCLK,3
M,12,2,M2,IP,INPUT,3
M,12,3,M3,IO_L21P_3/LHCLK6,LHCLK,3
M,12,4,M4,IO_L21N_3/LHCLK7,LHCLK,3
M,12,5,M5,IO_L18P_3/LHCLK0,LHCLK,3
M,12,6,M6,IP,INPUT,3
M,12,7,M7,VCCO_3,VCCO,3
M,12,8,M8,IO_L19N_3/LHCLK3/IRDY2,LHCLK,3
M,12,9,M9,VCCINT,VCCINT,VCCINT
M,12,10,M10,GND,GND,GND
M,12,11,M11,VCCINT,VCCINT,VCCINT
M,12,12,M12,VCCINT,VCCINT,VCCINT
M,12,13,M13,VCCINT,VCCINT,VCCINT
M,12,14,M14,GND,GND,GND
M,12,15,M15,IO_L19P_1/A8/RHCLK2,RHCLK/DUAL,1
M,12,16,M16,IO_L19N_1/A7/RHCLK3/TRDY1,RHCLK/DUAL,1
M,12,17,M17,GND,GND,GND
M,12,18,M18,IP,INPUT,1
M,12,19,M19,VCCAUX,VCCAUX,VCCAUX
M,12,20,M20,IO_L17N_1/VREF_1,VREF,1
M,12,21,M21,GND,GND,GND
M,12,22,M22,IO_L18N_1/A9/RHCLK1,RHCLK/DUAL,1
N,13,1,N1,IO_L20N_3/LHCLK5,LHCLK,3
N,13,2,N2,VCCO_3,VCCO,3
N,13,3,N3,IP,INPUT,3
N,13,4,N4,IO_L24N_3/VREF_3,VREF,3
N,13,5,N5,IO_L24P_3,I/O,3
N,13,6,N6,IO_L22N_3,I/O,3
N,13,7,N7,IO_L22P_3,I/O,3
N,13,8,N8,IO_L23P_3,I/O,3
N,13,9,N9,VCCAUX,VCCAUX,VCCAUX
N,13,10,N10,VCCINT,VCCINT,VCCINT
N,13,11,N11,GND,GND,GND
N,13,12,N12,VCCINT,VCCINT,VCCINT
N,13,13,N13,GND,GND,GND
N,13,14,N14,VCCINT,VCCINT,VCCINT
N,13,15,N15,IP,INPUT,1
N,13,16,N16,IO_L16N_1/A11,DUAL,1
N,13,17,N17,IO_L16P_1/A12,DUAL,1
N,13,18,N18,IO_L15N_1,I/O,1
N,13,19,N19,IO_L15P_1,I/O,1
N,13,20,N20,IO_L17P_1,I/O,1
N,13,21,N21,IP,INPUT,1
N,13,22,N22,IO_L18P_1/A10/RHCLK0,RHCLK/DUAL,1
P,14,1,P1,IO_L25P_3,I/O,3
P,14,2,P2,IO_L25N_3,I/O,3
P,14,3,P3,IP,INPUT,3
P,14,4,P4,GND,GND,GND
P,14,5,P5,IO_L27P_3,I/O,3
P,14,6,P6,IO_L27N_3,I/O,3
P,14,7,P7,IO_L26P_3,I/O,3
P,14,8,P8,IO_L23N_3,I/O,3
P,14,9,P9,GND,GND,GND
P,14,10,P10,IO_L17P_2,I/O,2
P,14,11,P11,GND,GND,GND
P,14,12,P12,IP_L21N_2/M2/GCLK1,DUAL/GCLK,2
P,14,13,P13,VCCINT,VCCINT,VCCINT
P,14,14,P14,GND,GND,GND
P,14,15,P15,IO_L14N_1,I/O,1
P,14,16,P16,IO_L14P_1,I/O,1
P,14,17,P17,IO_L12P_1,I/O,1
P,14,18,P18,IO_L12N_1/VREF_1,VREF,1
P,14,19,P19,GND,GND,GND
P,14,20,P20,IP,INPUT,1
P,14,21,P21,VCCO_1,VCCO,1
P,14,22,P22,IO_L13N_1,I/O,1
R,15,1,R1,IO_L28P_3,I/O,3
R,15,2,R2,IO_L28N_3,I/O,3
R,15,3,R3,IO_L29N_3,I/O,3
R,15,4,R4,IO_L29P_3,I/O,3
R,15,5,R5,VCCO_3,VCCO,3
R,15,6,R6,IO_L30P_3,I/O,3
R,15,7,R7,IO_L26N_3,I/O,3
R,15,8,R8,IP,INPUT,3
R,15,9,R9,IO_L13N_2/VREF_2,VREF,2
R,15,10,R10,IO_L17N_2,I/O,2
R,15,11,R11,IO_L20P_2/D4/GCLK14,DUAL/GCLK,2
R,15,12,R12,IP_L21P_2/RDWR_B/GCLK0,DUAL/GCLK,2
R,15,13,R13,IP_L24N_2,INPUT,2
R,15,14,R14,IO_L27P_2,I/O,2
R,15,15,R15,IP,INPUT,1
R,15,16,R16,IO_L10N_1,I/O,1
R,15,17,R17,VCCO_1,VCCO,1
R,15,18,R18,IO_L09P_1,I/O,1
R,15,19,R19,IO_L09N_1,I/O,1
R,15,20,R20,IO_L11P_1,I/O,1
R,15,21,R21,IO_L11N_1,I/O,1
R,15,22,R22,IO_L13P_1,I/O,1
T,16,1,T1,IP,INPUT,3
T,16,2,T2,GND,GND,GND
T,16,3,T3,IP/VREF_3,VREF,3
T,16,4,T4,IO_L32N_3,I/O,3
T,16,5,T5,IO_L32P_3,I/O,3
T,16,6,T6,IO_L30N_3,I/O,3
T,16,7,T7,IP,INPUT,3
T,16,8,T8,IO_L10N_2,I/O,2
T,16,9,T9,IO_L13P_2,I/O,2
T,16,10,T10,IO_L16P_2,I/O,2
T,16,11,T11,IO_L20N_2/D3/GCLK15,DUAL/GCLK,2
T,16,12,T12,VCCO_2,VCCO,2
T,16,13,T13,IP_L24P_2,INPUT,2
T,16,14,T14,IO_L27N_2,I/O,2
T,16,15,T15,IP_L31N_2/VREF_2,VREF,2
T,16,16,T16,IO_L10P_1,I/O,1
T,16,17,T17,IP,INPUT,1
T,16,18,T18,IO_L06P_1,I/O,1
T,16,19,T19,IO_L06N_1,I/O,1
T,16,20,T20,IP,INPUT,1
T,16,21,T21,GND,GND,GND
T,16,22,T22,IO_L08N_1,I/O,1
U,17,1,U1,IO_L31P_3,I/O,3
U,17,2,U2,IO_L31N_3,I/O,3
U,17,3,U3,IO_L34P_3,I/O,3
U,17,4,U4,IO_L34N_3,I/O,3
U,17,5,U5,IP,INPUT,3
U,17,6,U6,GND,GND,GND
U,17,7,U7,IO_L07N_2,I/O,2
U,17,8,U8,IO_L10P_2,I/O,2
U,17,9,U9,VCCO_2,VCCO,2
U,17,10,U10,IO_L16N_2,I/O,2
U,17,11,U11,IO_L19N_2/D6/GCLK13,DUAL/GCLK,2
U,17,12,U12,IO_L23N_2/DIN/D0,DUAL,2
U,17,13,U13,IO_L26P_2,I/O,2
U,17,14,U14,IO_L26N_2/VREF_2,VREF,2
U,17,15,U15,IP_L31P_2,INPUT,2
U,17,16,U16,IO_L33N_2,I/O,2
U,17,17,U17,GND,GND,GND
U,17,18,U18,IP,INPUT,1
U,17,19,U19,IO_L04N_1,I/O,1
U,17,20,U20,IO_L07N_1/VREF_1,VREF,1
U,17,21,U21,IO_L07P_1,I/O,1
U,17,22,U22,IO_L08P_1,I/O,1
V,18,1,V1,IO_L33P_3,I/O,3
V,18,2,V2,VCCO_3,VCCO,3
V,18,3,V3,IO_L35P_3,I/O,3
V,18,4,V4,IO_L35N_3,I/O,3
V,18,5,V5,VCCAUX,VCCAUX,VCCAUX
V,18,6,V6,IO_L04P_2,I/O,2
V,18,7,V7,IO_L07P_2,I/O,2
V,18,8,V8,IO_L09N_2/VREF_2,VREF,2
V,18,9,V9,IO_L12P_2,I/O,2
V,18,10,V10,GND,GND,GND
V,18,11,V11,IO_L19P_2/D7/GCLK12,DUAL/GCLK,2
V,18,12,V12,IO_L23P_2/M0,DUAL,2
V,18,13,V13,GND,GND,GND
V,18,14,V14,IO_L29P_2,I/O,2
V,18,15,V15,VCCO_2,VCCO,2
V,18,16,V16,IO_L33P_2,I/O,2
V,18,17,V17,IP,INPUT,2
V,18,18,V18,VCCAUX,VCCAUX,VCCAUX
V,18,19,V19,IO_L04P_1,I/O,1
V,18,20,V20,IO_L03P_1,I/O,1
V,18,21,V21,VCCO_1,VCCO,1
V,18,22,V22,IO_L05N_1,I/O,1
W,19,1,W1,IO_L33N_3,I/O,3
W,19,2,W2,IO_L36P_3,I/O,3
W,19,3,W3,IO_L36N_3/VREF_3,VREF,3
W,19,4,W4,IP,INPUT,3
W,19,5,W5,IO_L03P_2/DOUT/BUSY,DUAL,2
W,19,6,W6,IO_L04N_2,I/O,2
W,19,7,W7,IO_L06N_2,I/O,2
W,19,8,W8,IO_L09P_2,I/O,2
W,19,9,W9,IO_L12N_2,I/O,2
W,19,10,W10,IP_L15P_2,INPUT,2
W,19,11,W11,VCCAUX,VCCAUX,VCCAUX
W,19,12,W12,IO_L22N_2/D1/GCLK3,DUAL/GCLK,2
W,19,13,W13,IO_L25P_2,I/O,2
W,19,14,W14,IO_L29N_2,I/O,2
W,19,15,W15,IO_L32N_2,I/O,2
W,19,16,W16,IP_L34P_2,INPUT,2
W,19,17,W17,IO_L36N_2,I/O,2
W,19,18,W18,IO_L38P_2/A21,DUAL,2
W,19,19,W19,IO_L40N_2/CCLK,DUAL,2
W,19,20,W20,IO_L03N_1/VREF_1,VREF,1
W,19,21,W21,IO_L02N_1/A13,DUAL,1
W,19,22,W22,IO_L05P_1,I/O,1
Y,20,1,Y1,IO_L37P_3,I/O,3
Y,20,2,Y2,IO_L37N_3,I/O,3
Y,20,3,Y3,GND,GND,GND
Y,20,4,Y4,IP_L02P_2,INPUT,2
Y,20,5,Y5,IO_L03N_2/MOSI/CSI_B,DUAL,2
Y,20,6,Y6,IP_L05N_2,INPUT,2
Y,20,7,Y7,IO_L06P_2,I/O,2
Y,20,8,Y8,IO,I/O,2
Y,20,9,Y9,IO,I/O,2
Y,20,10,Y10,IP_L15N_2,INPUT,2
Y,20,11,Y11,IP_L18P_2,INPUT,2
Y,20,12,Y12,IO_L22P_2/D2/GCLK2,DUAL/GCLK,2
Y,20,13,Y13,IO_L25N_2,I/O,2
Y,20,14,Y14,IO_L28N_2,I/O,2
Y,20,15,Y15,IO_L32P_2,I/O,2
Y,20,16,Y16,IP_L34N_2,INPUT,2
Y,20,17,Y17,IO_L36P_2,I/O,2
Y,20,18,Y18,IO_L38N_2/A20,DUAL,2
Y,20,19,Y19,IO_L40P_2/VS0/A17,DUAL,2
Y,20,20,Y20,GND,GND,GND
Y,20,21,Y21,IO_L02P_1/A14,DUAL,1
Y,20,22,Y22,IO_L01N_1/A15,DUAL,1
AA,21,1,AA1,IO_L38N_3,I/O,3
AA,21,2,AA2,IO_L38P_3,I/O,3
AA,21,3,AA3,IO_L01P_2/CSO_B,DUAL,2
AA,21,4,AA4,IP_L02N_2,INPUT,2
AA,21,5,AA5,VCCO_2,VCCO,2
AA,21,6,AA6,IP_L05P_2,INPUT,2
AA,21,7,AA7,GND,GND,GND
AA,21,8,AA8,IO_L11P_2,I/O,2
AA,21,9,AA9,VCCO_2,VCCO,2
AA,21,10,AA10,IO,I/O,2
AA,21,11,AA11,IP_L18N_2/VREF_2,VREF,2
AA,21,12,AA12,IO/M1,DUAL,2
AA,21,13,AA13,VCCO_2,VCCO,2
AA,21,14,AA14,IO_L28P_2,I/O,2
AA,21,15,AA15,IO_L30P_2,I/O,2
AA,21,16,AA16,GND,GND,GND
AA,21,17,AA17,IO_L35P_2/A23,DUAL,2
AA,21,18,AA18,VCCO_2,VCCO,2
AA,21,19,AA19,IP_L37N_2,INPUT,2
AA,21,20,AA20,IO_L39N_2/VS1/A18,DUAL,2
AA,21,21,AA21,DONE,CONFIG,VCCAUX
AA,21,22,AA22,IO_L01P_1/A16,DUAL,1
AB,22,1,AB1,GND,GND,GND
AB,22,2,AB2,IP,INPUT,2
AB,22,3,AB3,IO_L01N_2/INIT_B,DUAL,2
AB,22,4,AB4,IO/VREF_2,VREF,2
AB,22,5,AB5,IO,I/O,2
AB,22,6,AB6,IP_L08P_2,INPUT,2
AB,22,7,AB7,IP_L08N_2,INPUT,2
AB,22,8,AB8,IO_L11N_2,I/O,2
AB,22,9,AB9,IO_L14N_2,I/O,2
AB,22,10,AB10,IO_L14P_2,I/O,2
AB,22,11,AB11,IO/D5,DUAL,2
AB,22,12,AB12,GND,GND,GND
AB,22,13,AB13,IO,I/O,2
AB,22,14,AB14,IO,I/O,2
AB,22,15,AB15,IO_L30N_2,I/O,2
AB,22,16,AB16,IO,I/O,2
AB,22,17,AB17,IO_L35N_2/A22,DUAL,2
AB,22,18,AB18,IO,I/O,2
AB,22,19,AB19,IP_L37P_2,INPUT,2
AB,22,20,AB20,IO_L39P_2/VS2/A19,DUAL,2
AB,22,21,AB21,IO/VREF_2,VREF,2
AB,22,22,AB22,GND,GND,GND
